Name,Booth,Description,Country,Company Size,Industry,RFID Role,Decision Maker
AIM,L2-05,"AIM – The global authority that links physical, digital and regulatory worlds.
AIM is the leading international industry association, resource, and authority for automatic identification &amp; data capture innovation (AIDC), technologies and solutions — ORM (Barcode, 2D-Code etc.), RFID, NFC, RTLS, Industrial Sensors, “Industrie 4.0”, Internet of Things (Wireless IoT / IIoT), RAIN RFID, among others — serving members as a trusted resource for over 50 years!
",USA,Small,Association,Other,Mary Lou Bosco
"BAIXIN AIOT TECHNOLOGY CO.,LTD",L3-11,"BAIXIN AIOT (SHENZHEN) TECHNOLOGY CO., LTD.
Nestled in the dynamic tech hub of Shenzhen, BAIXIN AIOT (SHENZHEN) TECHNOLOGY CO., LTD. stands as a pioneering manufacturer and service provider in the Internet of Things (IoT) sector. With a state-of-the-art production facility sprawling over 2,000 square meters, our robust team is equipped with cutting-edge expertise and a vibrant spirit.
Our extensive product lineup spans across various advanced technologies including RFID, LORA, NB-IoT, UWB, Bluetooth, and 2.45G. We specialize in a myriad of products such as reading and writing devices and base stations. Our strength lies in delivering comprehensive solutions to clients worldwide, encompassing both software and hardware.
At BAIXIN AIOT, we pride ourselves on our ability to tailor-make products to meet specific customer needs, offering top-notch OEM and ODM services. Our commitment to innovation ensures that we remain at the forefront of IoT technology, providing our clients with customized, high-quality solutions that drive their success.
",China,Small,Internet of Things,Manufacturer,Joan Oliver
Beontag,L1-03,"Beontag is a global business enabler that serves as one of the world’s leading providers of IoT solutions and pressure-sensitive adhesives. With operations in more than 15 countries and a footprint in over 40 markets, the multinational company offers end-to-end product capabilities for a range of industries and businesses, driving seamless communication between companies, products, and people.
Beontag’s business is underpinned by modern manufacturing facilities, strategic investments, R&amp;D, and a range of highly qualified teams. Furthermore, the multinational is fully committed to enabling positive impacts across the entire value chain. As a member of the UN Global Compact since 2021, Beontag offers its customers a series of increasingly sustainable products while also working towards a diverse and equitable work environment.
",Brazil,Large,Internet of Things,Manufacturer,Unknown
CISC Semiconductor,L4-12,"CISC is the world leader in providing RFID and NFC testing and measurement solutions. We provide high-speed 100% quality assurance during RFID production and high-precision performance and conformance tests for labs.
GLOBALLY UNIQUE
”ENCODING | TESTING | LOCKING in one step”
We are passionate about enhancing trust in communication technologies and achieve this through innovative and customer-oriented engineering solutions that improve performance, conformance, security, interoperability, and privacy.
With our state-of-the-art tools and expert services, we empower our customers-

to speed up development
improve production quality
and increase sales of RFID technology

",Austria,Small,Semiconductors,Manufacturer,Unknown
Cisper,L3-08,"Cisper Electronics is an international distributor in the Automatic Identification and Data Capture (AIDC) sector, with a specialized focus on RAIN RFID technology. We provide an extensive selection of high-quality UHF RFID hardware and tags, making us the go-to partner for system integrators, independent software vendors and OEMs. Our comprehensive product portfolio includes RFID readers, handheld devices, antennas, hard tags, labels and label printers. Additionally, we supply BLE Beacons, routers and gateways, establishing Cisper as a one-stop shop for applications in, among others, inventory management, asset tracking, and logistics.
We serve various industries, including healthcare, retail, and manufacturing. By partnering with leading manufacturers, we ensure that our products deliver optimal performance and reliability, helping businesses achieve greater efficiency and accuracy in their operations.
At our booth, you’ll find six top-tier suppliers, each showcasing their latest innovations. In addition to these six suppliers, we also offer products from other leading brands, providing you with an even broader range of options. The experts at Cisper are ready to discuss your projects, answer any questions and provide you with valuable insights. This unique opportunity allows you to explore a variety of solutions all in one place, providing a comprehensive view of the possibilities for your business.
Visit us at booth L3-16 to learn more.
",Netherlands,Small,Electronics Distribution,System/Software Integrator,Unknown
Dracula Technologies,L4-10,"Dracula Technologies, headquartered in Valence, France, pioneers sustainable energy solutions with our LAYER® technology, revolutionizing power sources for low-power electronics. Our organic photovoltaic (OPV) modules, manufactured using patented digital printing, harvest ambient light, eliminating reliance on traditional batteries.  
LAYER®Vault complements our existing OPV harvesting product line, transforming it into a 2-in-1 product, combining low-light energy harvesting and storage on a single, flexible film ensuring uninterrupted device functionality, empowering Smart Buildings, Smart Homes, Smart Asset Tracking, and other related applications. With a commitment to clean, renewable energy, Dracula Technologies leads the charge towards a greener future by providing long-lasting, and cost-effective energy solutions.  
Supporting our mission is our new “Green Micropower Factory”—a state-of-the-art, fully automated facility, the largest of its kind in the world with a capacity of up to 150 million cm² of printed OPV devices per year. 
",France,Small,Renewable Energy,End-User,Unknown
Energous Corporation,L1-01,"Energous transmitter systems are the backbone of WPNs that allow connected devices such as sensors and tags to continuously provide critical enterprise data to cloud networks—at distance and without wires, batteries, or cables—ensuring they are reliably charged at all times. They also act as data links for IoT-enabled devices, enabling them to efficiently communicate valuable data and insights back to the cloud, and allowing companies to analyze, optimize, and improve every part of their supply chain operations in real time. These innovative solutions are helping drive a new generation of battery-free devices for asset and inventory tracking and management—from retail sensors, electronic shelf labels, and asset trackers, to air quality monitors, motion detectors, and more.
",USA,Medium,Wireless Technology,Manufacturer,Unknown
Flexiray,L2-10,"Ultra Thin RFID UHF Antennas and Portal
FlexiRay is a brand of the Czech company BARCO, founded in 1993.
Since 2005, we have specialized in RFID integration
We have developed our  ultra-thin RFID UHF antennas with modular lengths. All our production is based in EU (Made in Czech Republic)
Antennas Key Features

Esthetic design suitable for indoor / outdoor RFID applications
Ultra slim version SF – thin 3 milimeters only
Rugged slim version SFR – thin 14 milimeters
Two UHF bands ETSI or FCC
4 x antenna length – 110 / 510 / 800 / 1020 mm
Easy and flexible mounting capabilities
Connector customization available

FlexiRay antenna with unique radiation pattern enables creation of RFID portals and reading zones in entrances, gates, doors and corridors. It is also suitable for smart racks, display cabinets and RFID smart shelves for asset tracking, document tracking or retail applications. The antenna allows completely invisible installation into door-frame suitable for creation of RFID gateways in interiors.
For more please go to www.flexiray.com
Email: info@flexiray.com
",Czech Republic,Small,Manufacturing,Manufacturer,Unknown
GIC ONLINE,L2-06,"Designer, developer and supplier of innovative solutions for printing and finishing for more than 30 years, we are more especially present in the fields of labels, packaging, digital finishing and security.
GIC CONCEPT: A DEDICATED BRAND, AN UNIQUE KNOW-HOW


Our watchwords are “OPT FOR THE DIFFERENCE!”:
these are the words that motivate us every day to go from innovation to innovation. It is also through this innovation that we created our own brand GIC Concept.
GIC concept helps you to realize your projects by creating tailor-made concepts.
Thanks to our Research and Development division, we follow the progress and advances of the market, and meet its requirements, to allow you to OPT FOR THE DIFFERENCE.
",Unknown,Small,Printing and Finishing,Other,Unknown
HID Global,L1-14,"HID powers the trusted identities of the world’s people, places and things. We make it possible for people to transact safely, work productively and travel freely. Our trusted identity solutions give people secure and convenient access to physical and digital places and connect things that can be accurately identified, verified and tracked digitally. Millions of people around the world use HID® products and services to navigate their everyday lives, and billions of things are connected through HID technology. We work with governments, educational institutions, hospitals, financial institutions, industrial organizations and some of the most innovative companies on the planet. Headquartered in Austin, Texas, HID has over 4,500 employees worldwide and operates international offices that support more than 100 countries. HID is part of the ASSA ABLOY Group. For more information, visit www.hidglobal.com.
",USA,Large,Security,Manufacturer,Unknown
InPlay Inc.,L1-11,"InPlay Inc. is a leader in the Industrial Internet of Things (IIoT) industry, specializing in advanced fabless semiconductor technology. We offer robust, low-latency, and low-power wireless communication solutions tailored for various industrial applications.
Key Products and Services



NanoBeacon Bluetooth SoC – IN100:

Ultra-Low Power Consumption: Ideal for applications like smart BLE label and active RFID.
Compact and High-Performance: Supports a wide temperature range and robust security features.
Battery-Free Operation: Innovative energy harvesting eliminates the need for batteries, simplifying installation and maintenance.


Stellar BLE Gateway Module:

High Throughput and Low Latency: Connects up to 1000 edge nodes, suitable for large-scale BLE deployments in logistics, industrial controls, and healthcare.
Dual Protocol Support: Concurrent BLE and InPlay’s proprietary SDR, enhancing network capacity and flexibility.
Cost-Effective and Scalable: Provides a reliable and scalable solution for IIoT applications with easy plug-and-play installation.



Unique Selling Points



Innovative Technology: Cutting-edge Bluetooth and proprietary SDR technologies provide unmatched accuracy, low power consumption, and high performance.
Versatility and Integration: Solutions cater to various applications, from smart home devices to large-scale industrial deployments.
Scalability: Stellar gateway solutions enable large-scale deployments, supporting thousands of connected devices with reliable and secure communication protocols.

What to Expect at the Booth


Visitors to our booth can expect live demonstrations of:

The NanoBeacon Bluetooth SoC showcasing its ultra-low power consumption and battery-free operation.
The Stellar BLE Gateway’s high throughput and low latency capabilities, handling large-scale deployments efficiently.

Contact Information



Email: contact@inplay-tech.com
Website: https://www.inplay-tech.com

Experience the future of wireless communication with InPlay Inc., where innovation meets efficiency.
",USA,Small,Semiconductors,Manufacturer,Unknown
Joaneo,L2-03,"Joaneo produces and sells NFC and RFID inlays for smart labels and other IoT devices. Our tags are printed in Luxembourg on recyclable paper substrates, using an eco-friendly production process. The entire process, from concept and design to production and distribution is focussed on sustainability and a lowest possible Carbon footprint. Joaneo’s paper based printed RFID inlays are available for many standard applications, or can be tailor-made to perfectly fit your application´s specific requirements.
How can our eco-friendly inlays serve your business? Tell us what you need and we will offer the best solution for you!
",Luxembourg,Small,Manufacturing,Manufacturer,Unknown
KATHREIN Solutions GmbH,L4-05,"KATHREIN Solutions develops and produces RFID readers, RFID antennas and its own UWB-based RTLS system at its German sites. Through continuous innovation, the company drives the development of RFID technology and offers a unique portfolio that enables members of its extensive partner network to digitize even the most complex material and production flow scenarios. Partners benefit from this differentiating offering and achieve significant advantages as a result. The professional service team secures the partner projects and ensures a successful process – from the early presales phase through to go-live.
",Germany,Medium,Telecommunications,Manufacturer,Unknown
